"id"	"sp"	"sex"	"FL"	"RW"	"CL"	"CW"	"BD"
646	"O"	"F"	18.8147023979295	15.1817691040691	35.8051936195791	40.507671240624	16.6139343391359
647	"O"	"M"	17.893445918588	12.9088245764654	36.8862417875696	40.8875355450157	16.4921604245156
648	"O"	"F"	14.3152564647142	12.186967204446	28.1002109977044	31.7821907119267	12.4853133839276
649	"O"	"F"	16.0875745716039	13.6171790083311	31.6123540725838	35.9913123141602	14.0093194300588
650	"O"	"M"	14.0813457798678	10.5159077280108	29.1014126738813	31.5975647987425	13.0988289435673
651	"O"	"M"	23.0921720291581	15.6838215189613	47.6126844930369	52.7967990720179	21.5814696507249
652	"O"	"M"	13.7188114419021	11.0142248916253	27.4845574303158	30.4995088695269	12.2014251766726
653	"O"	"M"	19.4144604082964	14.3823158382997	39.780019257497	44.2991021997202	17.8896793753747
654	"O"	"M"	12.5191660189349	9.41383680138737	23.1953568800166	25.9815205100272	10.8158113237005
655	"O"	"M"	17.5115839337464	12.6839731341507	34.6018184937816	38.4052648941427	16.1051477742102
656	"O"	"F"	15.6022324388847	13.4819723428972	31.2150565124583	35.1174534557946	14.1104522425681
657	"O"	"M"	20.5934373123106	14.3801257948112	42.7981385984179	46.4969322149362	19.612668608157
658	"O"	"F"	13.98636478303	11.8897986541875	27.0041463156417	31.4093554336205	12.5810076497402
659	"O"	"F"	18.8957325381692	16.6960916300863	36.2922072109208	41.716899773702	15.2917443932965
660	"O"	"F"	21.7051930862479	17.0925631298404	41.6911027060263	47.1934266015887	19.5994687390514
661	"O"	"M"	13.1871302365046	11.0148424401134	27.1058696965314	30.3956036053132	12.205272980174
662	"O"	"M"	12.4909993526433	9.3973834163975	23.1931972107291	26.0079894445278	10.7945262826141
663	"O"	"F"	17.5810316403862	13.9858646788355	34.0047962105926	38.5964067707583	15.5053745412175
664	"O"	"M"	16.2961568358261	11.5976650084835	31.5886789179035	34.197952771401	14.500705796862
665	"O"	"F"	15.6181499403063	13.4908835433051	31.1832293377072	35.100320071131	14.0924420773238
666	"O"	"F"	15.6028009685408	13.5098958431557	31.1930252468493	35.118587940447	14.0993091143761
667	"O"	"M"	12.4935189656541	9.41023585444316	24.2072946545109	27.0155051427521	11.2036270407308
668	"O"	"M"	22.1186816860363	15.7927492277697	44.6154477402288	49.6103821618296	20.508674595952
669	"O"	"M"	12.6837938947976	10.4062342377193	25.9987827559374	28.7947234476544	12.0941074041929
670	"O"	"F"	19.0864763496909	16.012041931618	37.8048910191935	42.3140760078467	16.7986126262508
671	"O"	"M"	14.0820252792723	10.5025151076354	29.1139697648026	31.60238033792	13.1184885758162
672	"O"	"F"	18.5090437077451	14.5860497391503	36.9994740641117	41.9967722400557	16.618607431585
673	"O"	"F"	18.3109649266303	15.7150952652656	35.0937210553046	40.5185896586161	16.0962165699247
674	"O"	"F"	21.684466643231	17.0848065545317	41.7105982168391	47.2145707536954	19.609454652695
675	"O"	"F"	19.110417725388	16.314177851351	37.8885168671794	42.5951781252772	17.1879223532788
676	"O"	"F"	18.5907455675304	14.5009286866151	34.6968726772629	39.3903340808395	14.9999964143243
677	"O"	"F"	16.1869698511343	14.0082215740252	31.5899339358974	35.6141720329318	13.69103373833
678	"O"	"F"	16.1976180122979	13.9818497790676	31.582888769526	35.6116663260385	13.7030734562874
679	"O"	"F"	21.7152724897955	17.0834328649193	41.6956790590752	47.1966281009093	19.6196364533715
680	"O"	"M"	17.1183191199508	12.5822680337075	35.0194351651147	38.8817810828052	15.7086596810538
681	"O"	"F"	15.6943652634509	13.6055388698727	31.0023977216799	34.8133476122748	13.7974878328573
682	"O"	"M"	17.0990400178079	12.6096642636787	34.9989288439508	38.907388306465	15.6941088318452
683	"O"	"F"	18.9058519417141	16.6936649253219	36.2933610664867	41.6976689006481	15.3115613585524
684	"O"	"F"	17.5039146789536	14.2814378473908	34.4887932684552	39.6037115961127	15.6194280768186
685	"O"	"M"	20.9940203958284	14.9885640356131	42.8977032415196	47.1883264621999	19.4117168555874
686	"O"	"F"	14.3023465233855	12.1808368675597	28.1044881241769	31.8091317995917	12.5033862084802
687	"O"	"M"	21.019094343828	14.9865904199798	42.8849290229101	47.215509622721	19.3899868832435
688	"O"	"F"	21.4132191905193	17.990602034824	41.2111669341568	46.1991069008131	18.7072902894206
689	"O"	"M"	14.5987688348722	11.2984380987473	29.8995676346496	33.5170339944679	12.7918287339807
690	"O"	"F"	12.8900208106544	11.1831943214033	25.7915825710818	29.1019413887803	11.9176687964611
691	"O"	"M"	12.4861291860323	9.40513070236891	23.2010853631515	26.0095368566364	10.817585581122
692	"O"	"F"	17.9904230022244	14.884025440393	34.6871973721217	39.5153490575869	15.6986080024857
693	"O"	"F"	21.8967408373393	17.1811327565182	42.5923207980953	47.4191966698412	19.4963371466193
694	"O"	"F"	20.0958186898008	17.1956005316973	39.7933973346651	44.119081374621	18.6119567545131
695	"O"	"F"	15.6809291412681	13.6151359536499	30.985836146418	34.810131434761	13.7915603781212
696	"O"	"F"	21.3146979442611	18.416996468287	43.8158980881423	48.3871930766292	19.9845034822728
697	"O"	"M"	18.7939312493801	13.3816161554214	37.1934396407288	41.1118988342397	17.4807673727721
698	"O"	"M"	17.4849995751958	12.0056991121452	34.4096850685216	37.3038509915303	15.2866029449087
699	"O"	"M"	21.0074331178796	14.9850851385389	42.9086949733552	47.2149902400002	19.3887229283806
700	"O"	"F"	17.4881546088401	14.3033937717229	34.4832133732177	39.5996537362039	15.6101593712531
701	"O"	"M"	9.10963658203371	6.91987627740949	16.6931331280526	18.5890268696379	7.40134652908892
702	"O"	"M"	21.0010813668184	14.9944327166211	42.9125906651281	47.200682258904	19.4051423680596
703	"O"	"M"	23.0152597476449	16.8088944008108	47.1948025124427	52.1060390770342	21.5164401497878
704	"O"	"F"	19.6802930668928	16.7179262556043	39.917248375807	43.5808419053629	18.1834003282338
705	"O"	"M"	15.1136542411707	11.3817753635254	30.2019364556298	33.3099301278591	13.9906185890362
706	"O"	"M"	15.0901031589136	11.4117736147717	30.2160116265342	33.2883635128755	13.9869133832771
707	"O"	"M"	22.1193283447996	15.7858437610976	44.5926509253029	49.5991541624162	20.4858988255449
708	"O"	"M"	15.3892295712233	11.1079521827959	30.2093141118996	33.6091217148863	13.5161771614384
709	"O"	"F"	17.4907856550533	14.4048759161588	34.5071495553479	39.0172550811805	16.0032557654195
710	"O"	"M"	15.7040714050736	12.2014335203543	31.6829322744347	34.2115968775656	14.1892682479694
711	"O"	"F"	15.6167520609777	13.485573437335	31.1831008107495	35.0855465849489	14.1053543448541
712	"O"	"F"	20.6058008602168	17.5185066575836	41.510541504873	46.1910845564585	19.2071010430995
713	"O"	"M"	14.0960494889691	10.3954590275045	28.8983194919862	31.8160264115687	13.5178250650223
714	"O"	"F"	17.6161758213863	13.9903962169494	34.0156776337791	38.5863333284948	15.4973476071749
715	"O"	"F"	19.8840804598015	16.6094448911026	39.38740487081	43.9138868158404	17.9170839899871
716	"O"	"M"	14.1041659030318	10.5087452377845	29.0918348488212	31.6084807348065	13.11939794234
717	"O"	"F"	20.9016694408562	16.504986196151	39.8897351751104	44.7104726461135	17.4864034080133
718	"O"	"F"	20.1044758018944	17.1892300846986	39.7989878242277	44.1045575132314	18.6119532861281
719	"O"	"M"	21.5879628061038	15.3924232786242	45.6849581980705	49.6913823082298	20.6010245282389
720	"O"	"M"	14.2192235553544	10.5938356117252	28.7071325783897	31.7012519616913	12.8916553751286
721	"O"	"M"	10.1836688998714	8.1955773735512	20.2158207115252	22.1864568442106	9.00614048165269
722	"O"	"M"	13.2135156907327	11.0151385603007	27.1178636647109	30.4116617466044	12.2023935334291
723	"O"	"F"	18.4072789482865	15.6972888184898	36.5119974937662	41.6181907235645	16.392007339336
724	"O"	"M"	10.6916790315975	8.6133633478824	20.6975690731872	22.7105594929401	9.18817786924541
725	"O"	"M"	21.515342784496	15.4850112893619	45.497967210589	49.7004679241963	20.9045414031669
726	"O"	"F"	16.103529320918	13.6139401318133	31.5808198187873	35.9851857771352	13.9884037417173
727	"O"	"F"	16.0853027708828	13.6982387596555	31.3841231789626	36.1034494675603	13.9014576179814
728	"O"	"F"	20.5001856361236	17.5073223581351	40.011005238574	45.5188061414286	19.1997325833235
729	"O"	"F"	18.9003822949994	16.6963813327253	36.2837577735912	41.6956238751672	15.298357589785
730	"O"	"M"	20.1153046600055	13.6919648890384	40.6152346329857	44.4886622483842	18.0125226250291
731	"O"	"M"	23.0973336485401	15.7084922606498	47.6028351240326	52.7965266432986	21.5915903506335
732	"O"	"M"	14.680990924919	11.115382550098	29.0096683655679	32.1013074613176	13.0815812440403
733	"O"	"F"	21.3035231738631	18.4148702553287	43.8147884087916	48.3894223610777	20.0001893128734
734	"O"	"F"	16.1810799681954	14.0093757106923	31.5907613311242	35.6062364672497	13.701079646796
735	"O"	"F"	23.0928739689291	20.2176156853046	46.2034345335327	52.5104843338951	21.0839479967672
736	"O"	"F"	17.501248956481	14.2850514122378	34.5002871954069	39.6072424693871	15.5875873896666
737	"O"	"M"	12.6996062296443	10.3812909765728	25.9934681322705	28.8119393453654	12.1004408771452
738	"O"	"M"	14.1988675951306	11.3041091508418	29.1938475861866	32.212750813989	13.5018495548517
739	"O"	"F"	20.8904714337736	16.4896992627345	39.885858856868	44.7105593528133	17.4854824018385
740	"O"	"F"	20.5080947791226	17.5057503790874	39.9807284895424	45.4958917828836	19.2163700369745
741	"O"	"M"	21.588223728314	14.8026434462238	43.4034910611156	48.1912960832939	20.099173983885
742	"O"	"F"	14.9031926059164	12.9969166181237	29.9828588655591	33.6847870059218	13.3009691506811
743	"O"	"F"	10.6902954971138	9.68204057000577	21.4169702302665	23.9986901072785	9.79431451875717
744	"O"	"F"	21.4129882011469	17.9839975806046	41.1922391837929	46.1908680690453	18.6970283770375
745	"O"	"M"	20.5896649686154	14.384118669061	42.8075604995992	46.4989766485803	19.6168328650296
746	"O"	"M"	14.1859743173607	10.6016447397415	28.7012614762969	31.6956459881272	12.8947449354548
747	"O"	"F"	19.8806497220229	17.8996551472414	40.0846767805889	46.4106526371278	17.8911711714137
748	"O"	"F"	20.1196041876357	17.1991481849458	39.8098611861654	44.1106137544662	18.6157608863153
749	"O"	"F"	15.7045234920923	13.6064761155844	31.0043007179536	34.7872471606918	13.7963427914493
750	"O"	"M"	14.1094539094158	10.3922243112605	28.8887198794261	31.8198644829262	13.5116188623104
751	"O"	"F"	22.492353330981	17.1956838984042	42.9849702733476	48.7086901891511	19.782825359758
752	"O"	"M"	18.3957569606788	13.399954446489	37.9166832395457	42.1931350236759	17.7168837425392
753	"O"	"M"	12.505544114504	9.38073113628663	24.1911862420198	27.0091590170935	11.2089212046377
754	"O"	"F"	18.001779794693	16.2825011573453	37.8906446068455	43.0167818098981	17.2116354326718
755	"O"	"M"	19.3890979133453	14.3947744731046	39.8078693080321	44.3016233550943	17.9063317464478
756	"O"	"M"	14.1883407013211	11.2916082204413	29.2116989621427	32.1972389735188	13.5160770646948
757	"O"	"M"	9.0921324216947	6.89907322893851	16.6809381287731	18.5844230219442	7.40691468974575
758	"O"	"F"	19.6800540665258	16.7095417512115	39.8913849928137	43.5804882954806	18.2022462386917
759	"O"	"M"	17.0942651927471	12.6096604256239	34.9942354771495	38.8953125731088	15.6819753800612
760	"O"	"M"	9.09583502383903	6.89226650463417	16.6808322090004	18.5873797086254	7.38639838586561
761	"O"	"M"	17.8072452716902	12.4971377468575	36.016366342539	39.8191393615026	16.7188935656846
762	"O"	"M"	14.0976365723088	10.6992194531858	28.686062426893	31.9197773978021	13.3032044605538
763	"O"	"M"	21.8973264269531	15.7078384496178	45.41827981974	51.0187042571697	21.0860514159035
764	"O"	"F"	23.1135290811956	20.2160724708252	46.2111397827882	52.5077463568095	21.1094293924794
765	"O"	"F"	15.5973335448839	14.0077253599465	31.6014150484279	35.3195970923547	13.8101866775285
766	"O"	"F"	19.7042365362216	16.6848445820156	39.8894794867281	43.6058895751555	18.2110853384435
767	"O"	"F"	18.4088052918483	15.4906864377018	35.6198550828267	40.0179714308772	15.8889192380384
768	"O"	"F"	14.0123107990809	12.8050945699401	28.8153845575918	32.3978395238705	12.7028441097122
769	"O"	"F"	17.4808149128314	14.688803853197	33.2846175213158	37.6079007957503	14.59203140283
770	"O"	"M"	18.5997552475147	13.5077795256581	36.8944703920558	40.1908493992128	16.9828521159291
771	"O"	"F"	15.6022662687488	13.5166514276527	31.2160843350366	35.1147751461621	14.0983311947342
772	"O"	"M"	14.2125602496322	11.3175853385683	29.2183391609043	32.2171400721092	13.4830048644543
773	"O"	"F"	14.8879995428491	12.9823914686497	30.0082368286699	33.6928971181251	13.2957321000565
774	"O"	"F"	17.5143991903774	14.2945688069984	34.4968542189989	39.6085168308485	15.6006600238103
775	"O"	"F"	17.4997188392095	14.712477165265	33.299671917567	37.5929885668959	14.5890339881182
776	"O"	"F"	12.9093716589641	11.1925467953738	25.7867434125673	29.105936415866	11.9182582557201
777	"O"	"F"	22.5194318219926	17.1897703600302	43.0016494735889	48.6884654748812	19.8080039366987
778	"O"	"M"	14.204663673155	10.6023655378167	28.7057491781656	31.6862147901487	12.9087117057201
779	"O"	"M"	13.7149561980274	11.004792949846	27.5011826637387	30.5109080866724	12.1947029442526
780	"O"	"M"	14.7100038770493	11.1089751628507	28.985544415554	32.0937069397513	13.1154043221194
781	"O"	"M"	12.7145548806246	10.3807405300811	26.0049045292381	28.8180010929797	12.1006792928465
782	"O"	"F"	15.6169218608085	14.108020800259	30.9993672785722	34.4858709571138	13.8180693710968
783	"O"	"M"	14.0935619806591	10.4981253909878	29.0923155679926	31.5944180500507	13.1154652383178
784	"O"	"M"	18.6093363635149	13.4801106687542	36.8874084905256	40.2132156702131	16.9870267965272
785	"O"	"M"	10.1882174128108	8.21980202927254	20.1982523108367	22.1932442613877	9.01260415039025
786	"O"	"M"	15.7173647718877	12.1834054854233	31.6973995876405	34.1930224107485	14.1884833231568
787	"O"	"F"	14.0028608514462	11.8941782494541	26.9878322311211	31.4107921016309	12.5944994238578
788	"O"	"M"	14.5844736244902	11.2890294371452	29.8877698159497	33.5064459637366	12.7991079990566
789	"O"	"M"	14.0044312694669	11.5063718862459	29.1834723366145	32.217950665066	13.1090944427066
790	"O"	"M"	18.6136409809534	13.5114505525958	36.8940552327316	40.1857200823072	17.0169397234358
791	"O"	"F"	15.0090765754879	12.2971919531561	30.0819496106077	33.2903537848592	14.0191937159747
792	"O"	"F"	15.5907319453638	14.0867753103934	31.0156332508009	34.4838346334547	13.7952246823441
793	"O"	"M"	15.0928545659501	11.4929458474834	30.8922769648582	34.0170315347984	13.9039241970144
794	"O"	"F"	15.719909805404	13.605390013326	31.0101707893331	34.8080877398048	13.8080778400879
795	"O"	"M"	14.1888551888056	10.6911608362757	27.7868703579158	30.8810250135977	12.6874171984661
796	"O"	"F"	21.7045014768559	17.0806179004163	41.7102254087664	47.2187084374577	19.6170169513207
797	"O"	"M"	17.9153949008323	12.9035400794446	36.9169669283833	40.8937275870051	16.5131237461232
798	"O"	"F"	17.4907099872455	14.385430279905	34.4837458536122	39.0177400337253	15.9905747188628
799	"O"	"M"	15.6813639240805	12.1950566530321	31.695287484033	34.2092763931397	14.1919098385051
800	"O"	"F"	15.5853665597923	13.5123564719316	31.2186872965097	35.0848577223811	14.0911786401924
801	"O"	"F"	14.9936134071741	12.2935127212107	30.1009686153382	33.2833185194712	14.01000981397
802	"O"	"F"	14.300072893668	12.2194656691793	28.1067880365904	31.8110279129911	12.4934740438033
803	"O"	"M"	18.1908438663371	13.6808422180545	38.7886805411242	42.6858584439009	17.1893591257092
804	"O"	"M"	16.2085233555269	11.7930115386937	32.2823543255683	35.3056855274737	14.6869637358002
805	"O"	"F"	20.0801219482999	17.1849295157474	39.7844423923828	44.0854023148306	18.5981733045913
806	"O"	"F"	21.3058416571561	18.3956070293207	43.8007961893082	48.4112784294505	19.9911278418172
807	"O"	"F"	19.9042574142478	16.6013465620764	39.3903165038861	43.9019494746439	17.8973912658915
808	"O"	"M"	21.5037360842619	15.5177455266472	45.5066810222715	49.7074376526661	20.901104430519
809	"O"	"F"	17.5808541295212	14.0101500547677	34.0002956330217	38.5894949838519	15.4998464126047
810	"O"	"F"	15.7071499867178	13.6004648544453	31.0169344020355	34.8089660348743	13.785220987713
811	"O"	"F"	14.0185026800074	12.8069992209878	28.790880636191	32.3974582965299	12.68689274217
812	"O"	"M"	12.4879265627638	9.41518544796854	23.2008032953832	26.0164138344675	10.8023899514321
813	"O"	"M"	15.088252847176	11.3971640277747	30.1810176082794	33.3132249261905	14.0195230962336
814	"O"	"F"	14.9814326318819	12.3080618796218	30.1182526056562	33.2904017620441	13.9936012160219
815	"O"	"M"	14.6925008846354	11.1086713087186	29.0032957032509	32.1123447310179	13.1092321892735
816	"O"	"M"	18.5881364985835	13.3976457180455	37.8055809265654	41.8845647725929	17.2806521434896
817	"O"	"F"	18.9159867293015	16.7106433256436	36.3130600512773	41.6832150076889	15.2956816746015
818	"O"	"M"	16.3140258770715	11.6040249521378	31.6140259880666	34.2195455326233	14.485005914066
819	"O"	"F"	18.8885914967023	16.7154491158668	36.2863267995976	41.6810540661402	15.306922860574
820	"O"	"F"	20.5866321544535	17.501048175795	41.5109502441436	46.1876584340725	19.1811784580816
821	"O"	"M"	20.9959768898971	14.9999917210545	42.8857063346915	47.2095104231406	19.3828037426062
822	"O"	"M"	17.0839792173449	12.5808072892763	35.0074277401716	38.8977127624117	15.691024276251
823	"O"	"F"	14.2916452636011	12.2178247669991	28.1199516762886	31.8147880758997	12.4982745561097
824	"O"	"F"	12.9049145063385	11.2063938024081	25.7944228411838	29.1082066115364	11.8923482967075
825	"O"	"F"	14.9115538993478	13.0065717872977	29.9966786989104	33.6896784960572	13.2947409595642
826	"O"	"F"	20.0038814242557	16.711458596075	40.4104926657397	45.1073739528749	17.7082200500648
827	"O"	"M"	12.4873901116475	9.41107634827495	24.2016761375125	26.9927268838137	11.18448758482
828	"O"	"F"	14.983877760265	12.2979752312787	30.1068279512227	33.3016341687087	14.0066262173094
829	"O"	"F"	14.9887460451666	12.3057961773127	30.1099259561766	33.2875649218727	14.0127053351887
830	"O"	"F"	17.9848116198275	16.2935190236662	37.9134181929659	43.0011198088527	17.2021149952617
831	"O"	"F"	14.2801705933642	12.2025758213829	28.0816427078005	31.8008430128545	12.5051019250229
832	"O"	"M"	21.6170944640972	15.4154825036693	45.7076030440349	49.692334814379	20.5975661346596
833	"O"	"M"	11.4174597559776	9.01990054242313	22.7184309074562	24.7971593783516	10.1136166539975
834	"O"	"F"	17.4924957158603	14.7088431265671	33.3151961579733	37.6140065743122	14.6154830977693
835	"O"	"M"	20.6015039189253	14.4125088606402	42.790447947504	46.4807591973152	19.5850203909073
836	"O"	"F"	18.3870893714856	15.5171151521802	35.6076084196661	40.0029386476893	15.9050627694465
837	"O"	"F"	16.0989884763397	13.5921043237485	31.6100512887258	36.0028931033332	14.0086801977269
838	"O"	"M"	21.5926916879788	15.3981335889827	45.6928451214172	49.6814116775058	20.6155300973635
839	"O"	"M"	14.0907464146242	10.5081897577737	29.0846448712144	31.5853381239157	13.0921560151223
840	"O"	"M"	15.7055803398229	12.1946211096551	31.7128559611272	34.1995935498551	14.1967805703171
841	"O"	"M"	13.4018745307904	10.0983002643473	26.5947508710623	29.587415555194	11.986427342426
842	"O"	"M"	15.0831652484555	11.4873545476235	30.9005833377689	34.01021629408	13.8841525719035
843	"O"	"M"	15.3908366858028	11.1109188448172	30.2006209226884	33.5979224400129	13.485985688027
844	"O"	"F"	15.695338558061	13.5991942125	31.0107753455173	34.8195168200135	13.7944927285425
845	"O"	"F"	12.4809507039655	10.0105272408947	24.0930615363084	26.9918633493874	10.8896818918083
846	"O"	"M"	14.6936014809459	11.1146770515852	29.0088805194665	32.0853749045264	13.094141431367
847	"O"	"F"	18.2998365306761	15.714953478137	35.0961296461895	40.5052355472371	16.0973239236977
848	"O"	"F"	13.9944835978653	12.8093934463896	28.819881598996	32.3931890202872	12.7100428669248
849	"O"	"F"	15.6827026949357	13.6143909747433	31.0066696299519	34.7900342444144	13.8142608231958
850	"O"	"F"	16.1990544123016	13.9906969322823	31.5978158793505	35.6198941776622	13.6834178774152
851	"O"	"M"	19.3826115096454	14.0950093390234	39.0810118999146	43.1905502571072	17.8045716176089
852	"O"	"M"	18.3902222342324	13.3862512647081	37.8826646260265	42.1885105624236	17.6893284248281
853	"O"	"M"	20.099788858071	13.7146672333963	40.5809698488656	44.4919759011641	17.9878003328666
854	"O"	"F"	11.4111648580711	9.20317087317817	21.6844297908992	24.1005768392421	9.69933142143302
855	"O"	"F"	14.7151308514643	13.1984504701383	29.6121707433369	33.4017501369119	12.8956582211703
856	"O"	"F"	20.4954923155997	17.4973885728512	40.0020460299589	45.4956025316287	19.1803248050902
857	"O"	"M"	21.5925640856382	14.8093198208045	43.4133168882877	48.1916653466225	20.0864225878473
858	"O"	"F"	19.1083373983111	16.2990513849445	37.8907598433085	42.5969558883272	17.2123004129622
859	"O"	"F"	14.8862477605231	13.0029175306577	29.9894247089792	33.7089124478679	13.3038466123585
860	"O"	"F"	15.0195512825716	12.3087737536523	30.1037175884191	33.2876305011939	13.9980765734054
861	"O"	"M"	14.5903043374233	11.3171007880103	29.9067172923964	33.5129597333167	12.7882652591448
862	"O"	"F"	16.0901468834188	13.6933052189089	31.3993969489261	36.0998663002253	13.9013085463271
863	"O"	"F"	20.8856189726852	16.5148427206464	39.8943231481966	44.6821779903211	17.487466583671
864	"O"	"M"	14.6100132259354	11.2985928353481	29.9043187878001	33.5179772296455	12.8003931913618
865	"O"	"F"	17.9831404166203	14.893192126723	34.6912704328634	39.4868640189525	15.6953238208219
866	"O"	"F"	14.6982270559482	13.1891042950284	29.5882283744961	33.4189277825877	12.8881280664355
867	"O"	"M"	19.4100237257499	14.4042549428903	39.7844243191741	44.2829259633832	17.9105691500194
868	"O"	"M"	15.0917508838326	11.5183724078909	30.8806422155537	33.9976036819816	13.8930889354553
869	"O"	"M"	12.4915937860962	9.38664433607832	23.2079691989906	26.00404111051	10.8070751491375
870	"O"	"F"	18.003861548705	16.2900908772461	37.8902263541892	43.0155197908916	17.2178443283774
871	"O"	"M"	15.1197080905735	11.4867968406342	30.8923527844623	33.9816679591406	13.9185788200237
872	"O"	"F"	10.6933993887343	9.68580878430046	21.380626506675	24.0011342659872	9.78892229011282
873	"O"	"M"	17.9020554705895	12.9061582942773	36.9080125407968	40.9132984245196	16.5097263691202
874	"O"	"F"	20.0988169645146	17.2163811239321	39.8088986472227	44.111742603099	18.6118375624903
875	"O"	"M"	17.5037500526942	12.0164624982793	34.4070025665872	37.3124449420907	15.3136693353672
876	"O"	"M"	12.5065202377271	9.40299362338148	24.1831961179804	27.007688467605	11.2050709474366
877	"O"	"M"	10.6913690784387	8.6027822603099	20.7093571523484	22.6851606145594	9.19637163608335
878	"O"	"M"	17.5155110224709	12.0154401399009	34.3933153719176	37.295856096223	15.3121237706207
879	"O"	"F"	20.0965812500287	17.2081579388678	39.780073774578	44.0812360902596	18.6137434423063
880	"O"	"F"	18.4956880774628	14.6157355525065	37.0191423234809	41.9948877950478	16.5833445605263
881	"O"	"F"	16.2115892796218	14.008261780506	31.5868471632991	35.6111999102868	13.6876840358507
882	"O"	"M"	15.100325692473	11.3809384033084	30.1803164999932	33.2892596794106	14.0069083922822
883	"O"	"M"	18.8046445669234	13.3892190460954	37.2194682419859	41.1022896388359	17.4892188550532
884	"O"	"M"	18.00289046783	13.4112512405124	36.6838091574609	41.2882322684955	17.0805750002433
885	"O"	"F"	12.6123462596443	11.4827617292572	24.9960955594573	28.1017144784424	11.4837508771941
886	"O"	"F"	16.7127964197099	14.3116107998695	32.2899990966171	36.9904989195429	14.6855775849894
887	"O"	"F"	18.0139879503101	16.2990013586823	37.8855749540869	42.9872174305562	17.2036963916942
888	"O"	"M"	15.689020514423	12.1822973699216	31.7114599859435	34.1971040701773	14.2183043198846
889	"O"	"M"	21.5914387416746	14.7955912401155	43.41469907213	48.2104072164279	20.0979909274634
890	"O"	"F"	18.392308231527	15.7003997999988	36.5152489800379	41.613183460189	16.4094457918778
891	"O"	"M"	20.6089726593345	14.4182364570908	42.7843229598366	46.4831408932805	19.6014466436021
892	"O"	"M"	18.4022225489281	13.4081984263565	37.9035611314699	42.1891095999815	17.6999051478598
893	"O"	"F"	18.8163409506809	15.1915229525603	35.8171007406898	40.4835688178986	16.5937498475891
894	"O"	"M"	18.6080067015253	13.4111888894439	37.7884011558257	41.9169113995135	17.2915736554936
895	"O"	"F"	12.5957599027921	11.5188961930946	24.9920145667624	28.1182582403626	11.4966990862694
896	"O"	"F"	19.9080621888582	16.6030989417899	39.3826154533774	43.9120030900463	17.9197955991235
897	"O"	"F"	15.5925882411189	13.4927408024017	31.1947148727905	35.1082825622615	14.0818736790586
898	"O"	"M"	17.5191243427526	12.6844488253817	34.6060509637371	38.3860432897322	16.0954792774562
899	"O"	"M"	11.4102768448088	8.98900952297263	22.693889299063	24.8086947199609	10.0933690946922
900	"O"	"M"	14.2177569570951	10.5836703317333	28.6845674777403	31.6950770621933	12.8861362359859
901	"O"	"M"	14.0862160427216	10.5037420954742	29.1155060350709	31.5976514884457	13.0911070852075
902	"O"	"M"	12.501262967959	9.40006378172897	24.1811654957104	26.9880101107247	11.1971305053681
903	"O"	"M"	9.08763166319579	6.89781106758863	16.6954006754048	18.5876785786636	7.38591019285843
904	"O"	"F"	11.4130543670431	9.21470619210973	21.695176477991	24.0875249005016	9.70150556368753
905	"O"	"F"	15.6013211601973	14.1118534443062	31.0041032094322	34.506924970774	13.8085780000407
906	"O"	"M"	13.7113647506013	10.9906548253167	27.485898391502	30.5192753391992	12.2084851849917
907	"O"	"M"	20.0856364870258	13.6805548632704	40.6103619860951	44.4877688180283	18.0073780801427
908	"O"	"M"	14.2113657308742	10.5833700815961	28.6886102381721	31.7166887239832	12.8812192427181
909	"O"	"F"	21.392243882129	18.0164610834047	41.1871829459816	46.2179196451046	18.6863908482715
910	"O"	"F"	18.2842549683061	15.7110969592445	35.0869490966667	40.5008971551619	16.1175575259328
911	"O"	"M"	22.9952460914105	16.7976848934777	47.2056602692884	52.1029613228049	21.4823909485899
912	"O"	"M"	17.509322898183	11.9905863066018	34.3850452619046	37.2842480056267	15.2896933191177
913	"O"	"F"	16.2001036505122	13.9976517045032	31.58844437344	35.5923759198841	13.7154046816286
914	"O"	"F"	12.6015020492487	11.5175014359225	24.9880063970666	28.1003801117186	11.5142208674923
915	"O"	"M"	14.1899376071524	10.7048772526719	27.7941032793187	30.9142488373816	12.7053256592806
916	"O"	"F"	19.0805282417499	16.0179498140886	37.793289939668	42.3058590165339	16.7974028738495
917	"O"	"M"	10.6835458641779	8.58070895943791	20.6982801483385	22.7153060803935	9.19526178096421
918	"O"	"M"	17.4814627034776	12.6820742053539	34.6159620990418	38.3906794090476	16.0897586234845
919	"O"	"M"	21.5996573003195	14.8000385251269	43.3995913715009	48.1839201817848	20.106525629703
920	"O"	"M"	19.4189275279734	14.1084443876799	39.084526993027	43.1886810965464	17.794629052598
921	"O"	"F"	21.408645221116	18.0166732231528	41.2065713597927	46.2180022890121	18.6971701495629
922	"O"	"M"	21.0061006563902	15.0113866771292	42.9178483393323	47.1940220449958	19.3840129327308
923	"O"	"M"	18.4079630632699	13.4088584318291	37.8832101824693	42.2132785476744	17.6994405407645
924	"O"	"M"	9.11511181361973	6.89023774024099	16.7188918122835	18.6191548093315	7.4134353748057
925	"O"	"M"	22.1046120873094	15.7994076293707	44.604764637854	49.6102268562373	20.4802282199915
926	"O"	"F"	17.9900699337479	16.3097243740223	37.9127651545592	43.0160732046515	17.1896177773271
